"","Mean Compaction","Water_Content","Relative_PAR"
"Forest_1",6.25,3.6,0.000606244316459533
"Forest_2",6.25,4.55,0.0018187329493786
"Forest_3",7.25,6.46,0.00303122158229767
"Forest_Edge_Interior_1",5.5,5.55,0.200060624431646
"Forest_Edge_Interior_2",5.75,6.18,0.0103061533798121
"Forest_Edge_Interior_3",8.5,7.87,0.167929675659291
"Forest_Edge_Exterior_1",7.375,6.79,0.278872385571385
"Forest_Edge_Exterior_2",6.75,8.97,0.120036374658988
"Forest_Edge_Exterior_3",7.75,4.33,0.22067293119127
"Pioneer_Near_1",7.75,5.61,0.00666868748105486
"Pioneer_Near_2",6.5,5.89,0.0563807214307366
"Pioneer_Near_3",6.5,4.025,0.00969990906335253
"Pioneer_Far_1",7.625,4.8,0.0072749317975144
"Pioneer_Far_2",8.25,5.13,0.0387996362534101
"Pioneer_Far_3",8.375,7,0.0242497726583813
"Grass_Near_1",8.625,6.77,0.139436192785693
"Grass_Near_2",7,4.88,0.198241891482267
"Grass_Near_3",6.625,2.01,0.100636556532283
"Grass_Far_1",5.375,6.35,0.0054561988481358
"Grass_Far_2",6.5,7.95,0.0054561988481358
"Grass_Far_3",5.75,5.86,0.00303122158229767
