"","Lat","Long","Distance_From_Edge"
"Forest_1",-26.774794,152.877859,-42
"Forest_2",-26.774825,152.877941,-42
"Forest_3",-26.774835,152.878038,-42
"Forest_Edge_Interior_1",-26.774396,152.877798,-3
"Forest_Edge_Interior_2",-26.774402,152.877716,-3
"Forest_Edge_Interior_3",-26.774472,152.877577,-3
"Forest_Edge_Exterior_1",-26.774305,152.877802,3
"Forest_Edge_Exterior_2",-26.774371,152.877668,3
"Forest_Edge_Exterior_3",-26.774423,152.877558,3
"Pioneer_Near_1",-26.774328,152.877806,19
"Pioneer_Near_2",-26.774181,152.877898,19
"Pioneer_Near_3",-26.774109,152.877982,19
"Pioneer_Far_1",-26.773779,152.877329,83
"Pioneer_Far_2",-26.773827,152.877243,83
"Pioneer_Far_3",-26.773862,152.87716,83
"Grass_Near_1",-26.774198,152.877612,29
"Grass_Near_2",-26.774252,152.877538,29
"Grass_Near_3",-26.774329,152.877429,29
"Grass_Far_1",-26.773011,152.876779,187
"Grass_Far_2",-26.773067,152.8767,187
"Grass_Far_3",-26.773125,152.876605,187
